Comment,Designator,Footprint,LCSC
470R,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C114564
74LVC1G125,U4,SOT-23-5,C12518
IRF7410,Q2,SOIC-8_3.9x4.9mm_P1.27mm,C152423
47F,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C16780
10µF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1713
10k,"R1,R2,R3,R4,R5,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
300R,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17617
1000µF,C4,CP_Radial_D8.0mm_P3.50mm,C189254
Flyback diode,D1,D_SMA_Handsoldering,C2480
SW_RST,SW1,SW_SPST_CK_RS282G05A3,C319331
BTN/FLASH,JP1,PinHeader_1x02_P2.54mm_Vertical,C390678
100nF,"C3,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
TS1117-3.3,U1,SOT-223-3_TabPin2,C6186
IRLML6344,Q1,SOT-23,C693370
ESP-12E,U2,ESP-12E,C82891
Screw_Terminal_01x05,J1,TerminalBlock_bornier-5_P5.08mm,
100µF,aC2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
Conn_01x04_Male,J2,PinSocket_1x04_P2.54mm_Vertical,
Jumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
